,Pos.,Giocatore,Price,Overall
458,459,Giacomo Raspadori\6e058f06,8.0,bad
459,460,Ante Rebić\536cebe5,26.0,top
460,461,Arkadiusz Reca\6213fd82,12.0,normal
461,462,Vasco Regini\339c6ed4,1.0,bad
462,463,Vasco Regini\339c6ed4,1.0,bad
463,464,Pepe Reina\e358587b,12.0,normal
464,465,Franck Ribéry\f61c7c4e,8.0,normal
465,466,Davide Riccardi\7b4b9221,1.0,bad
466,467,Emiliano Rigoni\a1216563,3.0,bad
467,468,Tomás Rincón\f1cfc209,2.0,bad
468,469,Andrea Rispoli\39ee6cb6,2.0,bad
469,470,Ricardo Rodríguez\7f78ad23,4.0,bad
470,471,Marko Rog\b6b2b820,1.0,bad
471,472,Rogério\10e7f486,1.0,bad
472,473,Filippo Romagna\84594618,1.0,bad
473,474,Alessio Romagnoli\3ead85f9,39.0,top
474,475,Cristian Romero\a3d94a58,2.0,bad
475,476,Rômulo\07abb358,15.0,normal
476,477,Rômulo\07abb358,15.0,normal
477,478,Cristiano Ronaldo\dea698d9,100.0,top
478,479,Marten de Roon\2a1beb34,15.0,normal
479,480,Antonio Rosati\28a15394,2.0,bad
480,481,Luca Rossettini\47a500ae,4.0,bad
481,482,Francesco Rossi\7b5f516f,4.0,bad
482,483,Nicolò Rovella\e58cbfd5,7.0,bad
483,484,Amir Rrahmani\4b3e1a38,9.0,bad
484,485,Dion Ruffo Luci\f239e6dd,1.0,bad
485,486,Daniele Rugani\14b8fcdf,30.0,top
486,487,Mário Rui\0b5a292a,15.0,normal
487,488,Fabián Ruiz Peña\c0c7ff58,1.0,bad
488,489,Stefano Sabelli\0ccac09c,1.0,bad
489,490,Alexis Saelemaekers\ee251371,10.0,normal
490,491,Jacopo Sala\da5a981b,1.0,bad
491,492,Bartosz Salamon\9b30df1e,1.0,bad
492,493,Eddie Salcedo\0489bb30,7.0,bad
493,494,Antonio Sanabria\0a447501,10.0,normal
494,495,Alexis Sánchez\2c0f8e9e,26.0,top
495,496,Alex Sandro\0d82903c,37.0,top
496,497,Nicola Sansone\7eb97a8e,3.0,bad
497,498,Federico Santander\df85d472,4.0,bad
498,499,Davide Santon\88c89891,9.0,bad
499,500,Samir Santos\92b4758e,3.0,bad
500,501,Riccardo Saponara\3bb7af3b,8.0,bad
501,502,Riccardo Saponara\3bb7af3b,11.0,top
502,503,Lasse Schöne\c3a8bcd8,9.0,normal
503,504,Jerdy Schouten\2cfae697,1.0,bad
504,505,Matteo Scozzarella\ea164f99,3.0,bad
505,506,Ken Sema\1770bd68,3.0,bad
506,507,Alessandro Semprini\dd29f81d,3.0,bad
507,508,Stefano Sensi\b70bde8f,35.0,top
508,509,Luigi Sepe\343f753a,1.0,bad
509,510,Yevhen Shakhov\ff764de3,1.0,bad
510,511,Luca Siligardi\1cac99dc,2.0,normal
511,512,André Silva\3effaa34,21.0,normal
512,513,Marco Silvestri\0d422df7,3.0,bad
513,514,Giovanni Simeone\343c0d52,19.0,normal
514,515,Wilfried Singo\8b609c34,,bad
515,516,Salvatore Sirigu\10dc46f0,4.0,bad
516,517,Łukasz Skorupski\ab4449d6,9.0,top
517,518,Andreas Skov Olsen\c50cee19,1.0,bad
518,519,Simon Skrabb\45af5134,2.0,bad
519,520,Milan Škriniar\30f5ffa9,25.0,top
